1.191045041196048260e-03 8.427960425615310669e-02 6.663676351308822632e-02 9.729167222976684570e-01
1.280476571992039680e-03 7.929151505231857300e-02 7.701341062784194946e-02 9.666666984558105469e-01
1.356858294457197189e-03 1.141619011759757996e-01 7.678293436765670776e-02 9.715278744697570801e-01
1.418309402652084827e-03 9.915866702795028687e-02 8.577556908130645752e-02 9.645833969116210938e-01
1.463316846638917923e-03 9.352119266986846924e-02 9.052743762731552124e-02 9.645833969116210938e-01
1.490772468969225883e-03 1.270493417978286743e-01 7.959915697574615479e-02 9.708333611488342285e-01
1.500000013038516045e-03 8.705399930477142334e-02 7.641083002090454102e-02 9.687500596046447754e-01
1.490772468969225883e-03 7.983189076185226440e-02 6.555536389350891113e-02 9.708333611488342285e-01
1.463316846638917923e-03 7.265943288803100586e-02 9.566451609134674072e-02 9.604167342185974121e-01
1.418309402652084827e-03 9.606296569108963013e-02 4.749280959367752075e-02 9.833334088325500488e-01
1.356858294457197189e-03 1.101286783814430237e-01 6.133395805954933167e-02 9.750000238418579102e-01
1.280476571992039680e-03 6.590798497200012207e-02 7.330825924873352051e-02 9.687500596046447754e-01
1.191045041196048260e-03 7.714527100324630737e-02 9.845106303691864014e-02 9.666666984558105469e-01
1.090765930712223053e-03 7.642075419425964355e-02 3.880243748426437378e-02 9.875000715255737305e-01
9.821082931011915207e-04 4.769208654761314392e-02 5.302372574806213379e-02 9.812500476837158203e-01
8.677476434968411922e-04 4.188089445233345032e-02 2.942916564643383026e-02 9.937500357627868652e-01
7.505000103265047073e-04 2.579396404325962067e-02 1.484894286841154099e-02 9.979166984558105469e-01
6.332523771561682224e-04 1.377596333622932434e-02 9.389577433466911316e-03 1.000000000000000000e+00
5.188917857594788074e-04 1.016629394143819809e-02 6.985322106629610062e-03 1.000000000000000000e+00
4.102341190446168184e-04 8.220348507165908813e-03 6.222292315214872360e-03 1.000000000000000000e+00
3.099549503531306982e-04 7.374565117061138153e-03 5.810196977108716965e-03 1.000000000000000000e+00
2.205234632128849626e-04 6.816828157752752304e-03 5.649269558489322662e-03 1.000000000000000000e+00
1.441417698515579104e-04 6.468766368925571442e-03 5.499701946973800659e-03 1.000000000000000000e+00
8.269061072496697307e-05 6.230712402611970901e-03 5.385442636907100677e-03 1.000000000000000000e+00
3.768314127228222787e-05 6.107627879828214645e-03 5.344458855688571930e-03 1.000000000000000000e+00
1.022758897306630388e-05 6.052294746041297913e-03 5.330451298505067825e-03 1.000000000000000000e+00
9.999999974752427079e-07 6.041746586561203003e-03 5.329836159944534302e-03 1.000000000000000000e+00
1.022758897306630388e-05 6.041336804628372192e-03 5.319583229720592499e-03 1.000000000000000000e+00
3.768314127228222787e-05 6.040642037987709045e-03 5.278700962662696838e-03 1.000000000000000000e+00
8.269061072496697307e-05 6.008249707520008087e-03 5.174029152840375900e-03 1.000000000000000000e+00
1.441417698515579104e-04 5.876618903130292892e-03 4.963326267898082733e-03 1.000000000000000000e+00
2.205234632128849626e-04 5.611823871731758118e-03 4.820107948035001755e-03 1.000000000000000000e+00
3.099549503531306982e-04 5.366130731999874115e-03 4.552259575575590134e-03 1.000000000000000000e+00
4.102341190446168184e-04 4.890111275017261505e-03 4.114778712391853333e-03 1.000000000000000000e+00
5.188917857594788074e-04 4.392706323415040970e-03 3.711671801283955574e-03 1.000000000000000000e+00
